"","source","purp","origPlace","count","dist"
"249","survey","leisure",10,12.9630610821918,1220.01444997833
"250","survey","leisure",11,115.244457219178,967.726313233215
"251","survey","leisure",12,28.1796717945205,1453.03402913811
"252","survey","leisure",13,254.536542361644,727.562551574038
"253","survey","leisure",14,12.988043,779.375194229617
"254","survey","leisure",15,92.6646575068493,1127.67692789028
"255","survey","leisure",16,58.4996681917808,1129.26210888716
"256","survey","leisure",17,36.8222026027397,968.282533470177
"257","survey","leisure",18,236.157650890411,929.089059408781
"258","survey","leisure",19,124.40794260274,1065.29745787534
"259","survey","leisure",20,545.687289561644,1292.85762883338
"260","survey","leisure",21,1651.06243910959,1202.62975490161
"261","survey","leisure",22,660.247399109589,985.126720613537
"262","survey","leisure",23,5.14537605479452,1588.74810092918
"263","survey","leisure",24,24.5933922328767,1110.62961783162
"264","survey","leisure",25,75.9979361780822,957.994010206391
"265","survey","leisure",26,141.214757739726,774.392210074453
"266","survey","leisure",27,344.226346684932,817.929786932331
"267","survey","leisure",28,358.585209342466,626.931359470437
"268","survey","leisure",29,611.45072149589,555.050326882544
"269","survey","leisure",30,4490.13113478082,244.046519540285
"270","survey","leisure",31,111.429822068493,310.283148550601
"271","survey","leisure",32,40.1862922739726,282.068234404034
"272","survey","leisure",33,199.027146068493,615.245594682921
"273","survey","leisure",35,188.348271561644,783.417180851293
"274","survey","leisure",36,506.205726616438,783.241797638104
"275","survey","leisure",37,29.2910207534247,854.697759116982
"276","survey","leisure",38,87.8387608493151,741.102073196547
"277","survey","leisure",39,140.622468561644,549.730448795963
"278","survey","leisure",40,31.4564062328767,522.558944135803
"279","survey","leisure",41,114.047240219178,473.534299928849
"280","survey","leisure",42,361.687449013699,295.694533993165
"281","survey","leisure",43,2117.35865435616,143.034855995634
"282","survey","leisure",44,272.482032547945,244.836978068243
"283","survey","leisure",45,1453.90267524932,225.241114238991
"284","survey","leisure",46,30.4914720684932,464.929289007323
"285","survey","leisure",47,730.249980520548,509.074682064256
"286","survey","leisure",48,86.4339800821918,713.6284264388
"287","survey","leisure",49,92.2250864547945,840.309510453852
"288","survey","leisure",50,79.5250431506849,1202.59256887758
"289","survey","leisure",51,50.4578940958904,1189.24881208812
"290","survey","leisure",52,99.9518954657534,1112.22551592472
"291","survey","leisure",53,163.649847356164,1206.45418773948
"292","survey","leisure",54,34.0743353013699,1302.45431182082
"293","survey","leisure",55,9.77829519178082,1136.8591516549
"294","survey","leisure",56,59.9264183383562,1400.31558973866
"295","survey","leisure",57,37.0679128082192,1402.92185116798
"296","survey","leisure",58,29.4703112191781,1092.59177627733
"297","survey","leisure",59,10.4496805808219,1414.6774387851
"298","survey","leisure",61,21.0234527534247,946.819925585569
"299","survey","leisure",62,131.179614884932,1256.0093419578
"300","survey","leisure",63,2.14690662191781,2480.64053437105
"301","survey","leisure",64,26.5526708630137,1294.52180247048
"302","survey","leisure",65,1710.30034521644,470.86734841557
"303","survey","leisure",66,575.150090452055,665.980982707568
"304","survey","leisure",67,16.0301504520548,814.448948427978
"305","survey","leisure",68,1572.82629128767,434.283328300585
"306","survey","leisure",69,141.121130958904,881.526475267385
"307","survey","visit",1,36.0416059178082,824.598759907384
"308","survey","visit",2,7.8215838630137,710.202682365441
"309","survey","visit",3,6.79219631506849,1792.68755266965
"310","survey","visit",4,201.598834780822,1354.34950570285
"311","survey","visit",5,56.8602376027397,569.249617830081
"312","survey","visit",6,14.8325277945205,1137.17560514386
